title,lokasi,harga,kamar_tidur,luas_bangunan_m2,luas_tanah_m2
Dijual Rumah Cantik Hook Luas 155 Sqm Dalam Cluster Sektor 9 Bintaro,"Bintaro, Tangerang Selatan",Rp2.600.000.000,3,120 m²,155 m²
Rumah di bsd lokasi strategis siap huni depan taman Kawasan Foresta,"Bumi Serpong Damai, Tangerang Selatan",Rp3.800.000.000,3,133 m²,180 m²
rumah di paradise Serpong city hanya 5 menit dari mall,"Pamulang, Tangerang Selatan",Rp1.500.000.000,4,85 m²,84 m²
Rumah Tanpa DP Serpong Minimalis Bebas Biaya KPR Kota Mandiri,"Serpong, Tangerang Selatan",Rp528.000.000,2,36 m²,60 m²
RUMAH MEWAH DI GADING SERPONG TANGERANG,"Bumi Serpong Damai, Tangerang Selatan",Rp12.000.000.000,5,450 m²,300 m²
"Rumah Kost 2 lantai, dekat Kampus Ternama",Tangerang Selatan,Rp2.600.000.000,14,200 m²,150 m²
dijual Rumah nyaman dan terawat siap huni di Serpong,"Serpong, Tangerang Selatan",Rp2.000.000.000,3,190 m²,162 m²
Cluster Enchante Residences di BSD City,"Bumi Serpong Damai, Tangerang Selatan",Rp31.000.000.000,5,760 m²,549 m²
Dijual Rumah 2 KT Siap Huni Di Bukit Indah Mk12208,"Ciputat, Tangerang Selatan",Rp3.000.000.000,2,140 m²,154 m²
Dijual Rumah Luas 168 Di Bukit Indah Ciputat Mk12207,"Ciputat, Tangerang Selatan",Rp1.300.000.000,6,198 m²,168 m²
Rumah Pondok Petir Renijaya dkt Unpam pamulang Ciputat,"Pamulang, Tangerang Selatan",Rp378.000.000,2,37 m²,64 m²
DIJUAL RUMAH DI CLUSTER BUKIT GOLF TERRACE BSD,"Bumi Serpong Damai, Tangerang Selatan",Rp18.500.000.000,5,900 m²,848 m²
Rumah Minimalis dan Asri di Ciputat Tangerang Selatan Banten,"Ciputat, Tangerang Selatan",Rp2.800.000.000,7,300 m²,359 m²
Dijual Rumah Green Serpong Bintaro Siap Huni,"Bintaro, Tangerang Selatan",Rp990.000.000,2,41 m²,72 m²
Rumah Asri Depan Taman di Griya Loka,"Bumi Serpong Damai, Tangerang Selatan",Rp1.800.000.000,4,135 m²,144 m²
Rumah 3 Lantai Dengan Attic Room Di Kawasan Sekitar Bintaro,"Ciputat, Tangerang Selatan",Rp3.400.000.000,4,163 m²,120 m²
Rumah 2 Lantai Cocok Untuk Pasutri Di Kawasan Sekitar Bintaro,"Ciputat, Tangerang Selatan",Rp1.400.000.000,2,57 m²,60 m²
Bagus Di Komplek Bersportclub Akses Sektor9,"Bintaro, Tangerang Selatan",Rp2.000.000.000,4,150 m²,236 m²
Rumah dijual Siap Huni di Permata Bintaro sektor 9 Tangsel,"Bintaro, Tangerang Selatan",Rp2.000.000.000,4,165 m²,120 m²
Rumah 3 Lantai Europe Style Di Kawasan Sekitar Bintaro,"Ciputat, Tangerang Selatan",Rp2.400.000.000,3,84 m²,110 m²
Rumah murah layton nava park bumi serpong damai di tangerang selatan,"Bumi Serpong Damai, Tangerang Selatan",Rp18.763.000.000,5,463 m²,300 m²
Dijual rumah lama  .alam sutera,"Alam Sutera, Tangerang Selatan",Rp2.200.000.000,3,65 m²,136 m²
DIJUAL RUMAH DI PERMATA BINTARO,Tangerang Selatan,Rp2.300.000.000,2,90 m²,168 m²
Rumah Hook Terawat & Siap Huni di Neo Permata Bintaro Sektor 9 (gb1420),"Bintaro, Tangerang Selatan",Rp2.300.000.000,3,90 m²,205 m²
Rumah dijual 2 lantai di Serpong dekat kantor walikota Tangsel,"Serpong Utara, Tangerang Selatan",Rp1.000.000.000,2,60 m²,59 m²
Dijual cepat rumah 2 lantai siap huni di Graha Raya Bintaro,"Serpong Utara, Tangerang Selatan",Rp1.650.000.000,3,107 m²,72 m²
Dijual Bintaro Jaya Cluster Taman Permata  Bintaro,Tangerang Selatan,Rp1.700.000.000,3,78 m²,108 m²
"Rumah Bagus, Baru Renovasi, 2 Lantai Di Kebayoran Residence Bintaro","Bintaro, Tangerang Selatan",Rp5.650.000.000,4,218 m²,254 m²
Rumah Idaman Dijual 10 Menit ke Gerbang Tol Pamulang Siap Huni J-16226,"Pamulang, Tangerang Selatan",Rp700.000.000,2,50 m²,47 m²
Rumah Dijual Brand New di Graha Bintaro Jaya,"Bintaro, Tangerang Selatan",Rp2.200.000.000,5,110 m²,98 m²
KEBAYORAN GARDEN BINTARO RUMAH HOMEY SIAP HUNI DISCOVERY EMERALD PURI,"Bintaro, Tangerang Selatan",Rp5.500.000.000,4,214 m²,246 m²
Rumah murah subsidi DP ukuran 6x11 di cluster Terravia BSD Tangerang,"Serpong, Tangerang Selatan",Rp2.790.000.000,5,144 m²,84 m²
"Di Jual Rumah Baru, Cluster Teraria 1 - Pamulang. Tangsel","Pamulang, Tangerang Selatan",Rp850.000.000,3,74 m²,78 m²
"Di jual Rumah Mewah The Mozia Cluster Amata - BSD City, TangSel","Serpong, Tangerang Selatan",Rp4.300.000.000,5,200 m²,160 m²
"Dijual Rumah Mewah di Villa Melati Mas - BSD City, Tangsel","Serpong Utara, Tangerang Selatan",Rp3.500.000.000,4,340 m²,240 m²
Dijual Rumah Mewah di Villa Melati Mas,"Serpong Utara, Tangerang Selatan",Rp2.800.000.000,5,155 m²,198 m²
Dijual Rumah Rapi Siap Huni 2 Lantai di Cendana Residence,"Pamulang, Tangerang Selatan",Rp1.250.000.000,3,90 m²,72 m²
Rumah siap huni rapih dan terawat di Graha Raya,"Serpong Utara, Tangerang Selatan",Rp1.250.000.000,2,72 m²,105 m²
Rumah Baru Aether Greenwich Park Unit Ready Siap Huni,"Bumi Serpong Damai, Tangerang Selatan",Rp3.450.000.000,3,165 m²,84 m²
Rumah  Hommy 2 Lantai Siap Huni di Puri Bintaro sektor 9 HR 12257,"Bintaro, Tangerang Selatan",Rp2.600.000.000,3,150 m²,120 m²
HOT SALE Rumah 2 Lantai Dalam Cluster Minimalis di Pondok Aren SC12243,"Bintaro, Tangerang Selatan",Rp2.400.000.000,4,220 m²,150 m²
EMERALD BINTARO RUMAH KEREN HOMIE DISCOVERY KEBAYORAN PURI,"Bintaro, Tangerang Selatan",Rp3.000.000.000,4,150 m²,138 m²
Rumah Cantik Sudah Renov di Emerald Garden Sektor 9 Bintaro GB-12192,"Bintaro, Tangerang Selatan",Rp2.450.000.000,2,105 m²,105 m²
HOT SALE Rumah Premium American Style di Mertilang Bintaro SC-10621,"Bintaro, Tangerang Selatan",Rp6.400.000.000,5,300 m²,241 m²
Rumah Hook Siap Huni Dikawasan Graha Raya Bintaro,"Bintaro, Tangerang Selatan",Rp2.400.000.000,2,80 m²,180 m²
